0_position_0, 0_position_1, 0_velocity_0, 0_velocity_1, 0_total_force_0, 0_total_force_1, 0_ang_0, 1_position_0, 1_position_1, 1_velocity_0, 1_velocity_1, 1_total_force_0, 1_total_force_1, 1_ang_0, 2_position_0, 2_position_1, 2_velocity_0, 2_velocity_1, 2_total_force_0, 2_total_force_1, 2_ang_0, 3_position_0, 3_position_1, 3_velocity_0, 3_velocity_1, 3_total_force_0, 3_total_force_1, 3_ang_0
50.967997309068537, 50.621254691084978, 28.079838544112263, 17.275281465098786, -57.604843676632079, -81.741556047036326, 0.57058472884918998, 99.372617043399259, 50.627382956600748, -17.642977396044841, 17.642977396044841, 70.710678118654755, -70.710678118654755, 2.3561944901923448, 50.960716289934084, 99.039283710065916, 27.642977396044841, -27.642977396044841, -70.710678118654755, 70.710678118654755, -0.78539816339744828, 99.378745308915015, 99.032002690931463, -17.275281465098786, -28.079838544112263, 81.741556047036326, 57.604843676632079, -2.1413810556440867
51.872438850783929, 51.151371887220925, 26.186653958811213, 14.531750303057862, -56.795537559031416, -82.305934861227669, 0.5301559693274025, 98.823801506930351, 51.176198493069656, -15.285954792089683, 15.285954792089683, 70.710678118654755, -70.710678118654755, 2.3561944901923448, 51.842865159736327, 98.15713484026368, 25.285954792089683, -25.285954792089683, -70.710678118654755, 70.710678118654755, -0.78539816339744828, 98.848628112779068, 98.127561149216078, -14.531750303057862, -26.186653958811213, 82.305934861227669, 56.795537559031416, -2.1009522961222991
52.714216465036458, 51.589736021142009, 24.320002896340299, 11.770097732206974, -55.999531874127385, -82.849577125526665, 0.48011736463644128, 98.353553390593277, 51.646446609406723, -12.928932188134524, 12.928932188134524, 70.710678118654755, -70.710678118654755, 2.3561944901923448, 52.64644660940673, 97.353553390593277, 22.928932188134524, -22.928932188134524, -70.710678118654755, 70.710678118654755, -0.78539816339744828, 98.410263978857984, 97.285783534963556, -11.770097732206974, -24.320002896340299, 82.849577125526665, 55.999531874127385, -2.0509136914313379
53.494168737692213, 51.935779634097969, 22.477133463004911, 8.9925190451507042, -55.286083000061595, -83.32736061168805, 0.41757978677955498, 97.961872694388049, 52.038127305611958, -10.571909584179366, 10.571909584179366, 70.710678118654755, -70.710678118654755, 2.3561944901923448, 53.371460638945294, 96.628539361054706, 20.571909584179366, -20.571909584179366, -70.710678118654755, 70.710678118654755, -0.78539816339744828, 98.064220365902017, 96.505831262307808, -8.9925190451507042, -22.477133463004911, 83.32736061168805, 55.286083000061595, -1.9883761135744515
54.212978992681194, 52.189048171877516, 20.651481836333936, 6.2035932216220964, -54.7695488001293, -83.66777470585825, 0.33876155817332343, 97.648759418314654, 52.351240581685353, -8.2148869802242075, 8.2148869802242075, 70.710678118654755, -70.710678118654755, 2.3561944901923448, 54.057190958417941, 95.942809041582066, 20.571909584179366, -20.571909584179366, 0.0, 0.0, -0.78539816339744828, 97.810951828122469, 95.787021007318828, -6.2035932216220964, -20.651481836333936, 83.66777470585825, 54.7695488001293, -1.90955788496822
54.872449779395069, 52.348394972936674, 18.916765366498758, 3.3572148419273486, -52.041494095055299, -85.391351390842416, 0.23708402303734963, 97.414213562373106, 52.585786437626908, -5.857864376269049, 5.857864376269049, 70.710678118654755, -70.710678118654755, 2.3561944901923448, 54.742921277890588, 95.257078722109426, 20.571909584179366, -20.571909584179366, 0.0, 0.0, -0.78539816339744828, 97.651605027063312, 95.127550220604945, -3.3572148419273486, -18.916765366498758, 85.391351390842416, 52.041494095055299, -1.8078803498322462
55.474696439045992, 52.412502135561191, 17.218034212556752, 0.48921491554346197, -50.961934618260138, -86.039997791516598, 0.10604735446064457, 97.258235126563392, 52.741764873436622, -3.5008417723138905, 3.5008417723138905, 70.710678118654755, -70.710678118654755, 2.3561944901923448, 55.428651597363235, 94.571348402636787, 20.571909584179366, -20.571909584179366, 0.0, 0.0, -0.78539816339744828, 97.587497864438802, 94.525303560954015, -0.48921491554346197, -17.218034212556752, 86.039997791516598, 50.961934618260138, -1.6768436812555412
56.019783418672937, 52.381330442688856, 15.487184565060117, -2.3595164878836639, -51.925489424899062, -85.461942102813779, -0.057124422654918003, 97.18082411088551, 52.819175889114497, -1.143819168358732, 1.143819168358732, 70.710678118654755, -70.710678118654755, 2.3561944901923448, 56.075098206769958, 93.924901793230063, 18.214886980224207, -18.214886980224207, -70.710678118654741, 70.710678118654741, -0.78539816339744828, 97.618669557311136, 93.98021658132707, 2.3595164878836639, -15.487184565060117, 85.461942102813779, 51.925489424899062, -1.5136719041399787
56.5050233672304, 52.256577306806165, 13.62721234838766, -5.1256716650777516, -55.799166500173705, -82.98465531582265, -0.25164580002894771, 97.181980515339475, 52.818019484660539, 1.2132034355964265, -1.2132034355964261, 70.710678118654755, -70.710678118654741, -0.78539816339744506, 56.682261106110765, 93.317738893889256, 18.214886980224207, -18.214886980224207, 0.0, 0.0, -0.78539816339744828, 97.743422693193821, 93.494976632769607, 5.1256716650777516, -13.62721234838766, 82.98465531582265, 55.799166500173705, -1.3191505267659489
56.925826607765579, 52.041355208366085, 11.620982083723201, -7.7876542413271679, -60.18690793993381, -79.859477287482477, -0.47276989155732568, 97.222420629859357, 52.7220238145851, 1.2132034355964265, -4.5465367689297596, 0.0, -100.0, -1.1720890957469829, 57.328707715517488, 92.671292284482533, 20.571909584179366, -20.571909584179366, 70.710678118654741, -70.710678118654741, -0.78539816339744828, 97.958644791633901, 93.074173392234428, 7.7876542413271679, -11.620982083723201, 79.859477287482477, 60.18690793993381, -1.098026435237571
